               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.020052,           0.0060674,                   0,             0.96452,             0.86766,             0.91273,             0.54567,            0.035507,           0.0055504,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.020977,           0.0064066,                   0,              0.9533,             0.86875,             0.91104,             0.55436,            0.035483,           0.0055494,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.020191,            0.006081,                   0,             0.92295,             0.90426,              0.9066,             0.54135,            0.035895,           0.0055646,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,             0.02044,           0.0059401,                   0,             0.92447,             0.91489,             0.92233,             0.54102,            0.035616,           0.0054782,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.020047,           0.0061953,                   0,             0.96547,             0.89226,             0.90605,             0.54571,            0.035383,           0.0054431,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.019977,           0.0063098,                   0,             0.96886,             0.90426,             0.93541,             0.54656,            0.035264,            0.005479,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.019287,           0.0056301,                   0,             0.96697,             0.89362,             0.93562,             0.55604,            0.034482,           0.0054552,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.019361,           0.0059713,                   0,             0.96564,             0.89686,             0.93553,             0.55589,            0.034434,           0.0053718,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.019962,           0.0059668,                   0,             0.95989,             0.89362,             0.93117,             0.53462,            0.035213,           0.0054108,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.019918,           0.0056493,                   0,             0.95351,             0.88172,             0.91229,              0.5411,            0.035205,           0.0055341,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.019116,           0.0062315,                   0,             0.96507,             0.89362,             0.93314,             0.55815,            0.034708,           0.0055569,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.019124,           0.0060058,                   0,             0.97194,             0.88298,             0.92574,             0.52214,            0.035418,           0.0054908,                   0,            0.003565,            0.003565,            0.003565
                 132,             0.02009,           0.0059976,                   0,             0.96734,             0.89362,             0.92696,             0.56954,            0.034005,           0.0055532,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.019062,           0.0062145,                   0,             0.96546,             0.89201,             0.88969,             0.54014,            0.034664,           0.0056688,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.018678,           0.0059368,                   0,             0.96607,             0.91489,             0.91945,             0.54897,            0.034716,           0.0056565,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.018532,           0.0062022,                   0,             0.96036,             0.90426,             0.91977,             0.54401,            0.035154,           0.0056043,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.018709,            0.005873,                   0,              0.9431,             0.90426,             0.91796,             0.55095,            0.034747,           0.0056186,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.019183,           0.0061525,                   0,             0.94315,             0.90426,              0.9174,              0.5505,            0.034907,           0.0056797,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.019507,           0.0058202,                   0,             0.95105,             0.90426,             0.91829,             0.54655,            0.034955,           0.0056387,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.018275,           0.0057126,                   0,             0.94731,             0.90426,             0.92285,             0.54109,            0.035329,           0.0055982,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.018748,            0.005619,                   0,             0.95446,             0.91398,             0.92839,             0.55335,            0.034977,           0.0055831,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.017967,           0.0059408,                   0,              0.9658,             0.91106,             0.93105,             0.55955,            0.034562,           0.0055208,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.017724,            0.005777,                   0,               0.955,             0.91285,             0.92261,             0.56237,            0.034538,           0.0055164,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.018156,           0.0060539,                   0,              0.9736,             0.90323,             0.93234,             0.54711,             0.03501,           0.0055224,                   0,            0.002971,            0.002971,            0.002971
